iter	Passed	Remaining
0	1	1678
1	3	1613
2	4	1534
3	6	1502
4	7	1512
5	9	1548
6	11	1574
7	13	1651
8	16	1814
9	19	1965
10	21	1939
11	22	1891
12	24	1875
13	27	1916
14	29	1963
15	32	2013
16	34	1987
17	36	1987
18	38	1996
19	40	1995
20	42	1966
21	43	1916
22	44	1881
23	45	1868
24	47	1841
25	48	1824
26	49	1800
27	51	1795
28	53	1796
29	55	1783
30	57	1787
31	59	1791
32	61	1798
33	62	1776
34	64	1765
35	65	1759
36	67	1751
37	68	1728
38	69	1718
39	71	1713
40	72	1707
41	74	1700
42	76	1705
43	78	1701
44	80	1704
45	81	1697
46	83	1691
47	84	1685
48	87	1691
49	89	1695
50	91	1699
51	93	1697
52	95	1697
53	96	1698
54	99	1709
55	101	1706
56	102	1702
57	104	1699
58	106	1692
59	107	1686
60	109	1680
61	110	1670
62	111	1665
63	113	1660
64	115	1654
65	116	1651
66	118	1648
67	119	1641
68	120	1632
69	123	1638
70	125	1636
71	126	1634
72	128	1627
73	129	1619
74	131	1615
75	133	1619
76	135	1628
77	137	1623
78	138	1618
79	140	1613
80	141	1609
81	143	1602
82	144	1601
83	145	1589
84	147	1585
85	149	1583
86	150	1576
87	151	1568
88	152	1564
89	154	1564
90	156	1564
91	158	1564
92	159	1559
93	160	1549
94	162	1545
95	164	1551
96	167	1557
97	169	1559
98	172	1565
99	173	1563
100	175	1561
101	176	1554
102	178	1553
103	180	1555
104	183	1563
105	186	1569
106	188	1569
107	189	1568
108	192	1569
109	193	1569
110	195	1566
111	197	1564
112	198	1559
113	200	1554
114	201	1549
115	202	1542
116	203	1537
117	204	1530
118	206	1527
119	207	1523
120	208	1517
121	210	1512
122	211	1506
123	212	1501
124	213	1495
125	214	1485
126	215	1480
127	216	1475
128	217	1471
129	219	1466
130	220	1461
131	221	1457
132	222	1452
133	223	1446
134	224	1441
135	226	1436
136	227	1431
137	228	1427
138	229	1422
139	230	1417
140	231	1412
141	233	1407
142	234	1402
143	235	1398
144	236	1395
145	237	1390
146	238	1385
147	239	1381
148	241	1378
149	242	1372
150	243	1367
151	244	1364
152	245	1359
153	246	1354
154	247	1349
155	248	1345
156	249	1341
157	251	1337
158	252	1333
159	253	1330
160	254	1327
161	256	1324
162	257	1320
163	258	1316
164	259	1312
165	260	1308
166	261	1304
167	262	1300
168	263	1297
169	265	1294
170	266	1292
171	267	1289
172	269	1286
173	270	1282
174	271	1278
175	271	1272
176	273	1270
177	273	1264
178	274	1260
179	276	1258
180	277	1255
181	278	1251
182	280	1252
183	281	1249
184	282	1244
185	283	1240
186	284	1237
187	285	1234
188	286	1230
189	288	1228
190	288	1223
191	289	1219
192	291	1217
193	292	1214
194	293	1211
195	294	1208
196	295	1206
197	297	1203
198	298	1201
199	299	1196
200	300	1193
201	301	1190
202	302	1187
203	303	1185
204	304	1182
205	306	1180
206	307	1178
207	308	1175
208	309	1172
209	311	1170
210	312	1167
211	313	1164
212	314	1160
213	315	1158
214	316	1156
215	318	1154
216	319	1151
217	320	1149
218	321	1146
219	322	1143
220	323	1141
221	324	1138
222	326	1136
223	327	1133
224	328	1132
225	330	1131
226	331	1129
227	332	1127
228	334	1127
229	336	1125
